link_works,repeat,date,Month,Year,Publications,Source,author,City,headline,content,Link,url,theme,theme2,oldtheme,oldtheme2,oldtheme3,impact location if intl,source of the reports,Source of news-gathering,News Initiating body,,,Passive,Types of talking heads,,,TONE,"sub-national policies or impacts (state, city, ecosystem)",name,equity & justice/ burden sharing,problem or the ask,,,temp ambition,Mit or Adpt,default adaptation (communities adaptive approaches) or maladaptation (poor devp choiceS),NAPCC/SAPCC,CO-BENEFITS,IPCC AR5,"COP number (about or around specific cop),COP(in general)","NON-COP CONVENTIONS (G20, BASIC meet, Montreal protocol)",fulltext,RS/LS
,,30,Jan,2013,HDU,Reporter,R. Ramabhadran Pilla,Kochi,Green cars fail to charge ahead,"Electric vehicles offer a spectre of hope amid escalating fuel price, but they are yet to make waves in the automobile sector in Kerala",http://www.thehindu.com/news/cities/Kochi/green-cars-fail-to-charge-ahead/article4358022.ece,http://www.thehindu.com/news/cities/Kochi/green-cars-fail-to-charge-ahead/article4358022.ece,PBZ,BBZ,IP,BZ,,IND,IA2,IB2,IC5,,Mahindra Maruti,P,,,,IT6,SB,Kerala,,,,,,Mit,,,,,,,,
,,30,Jan,2013,TOI,No byline,,Ahemdabad,Citizens now open to pay extra for green energy,The masses are waking up to the challenges posed by changing ecology and are now ready to pay more for green energy...highlighted by a study conducted by the city-based Vikram Sarabhai Center for Development Interaction (VIKSAT) and Jaipur-based CUTS International a year ago.,http://timesofindia.indiatimes.com/home/environment/global-warming/Citizens-now-open-to-pay-extra-for-green-energy/articleshow/18247617.cms,http://timesofindia.indiatimes.com/home/environment/global-warming/Citizens-now-open-to-pay-extra-for-green-energy/articleshow/18247617.cms,IPE,,IP,,,IND,IA2,IB1,IC4,,VIKSAT CUTS,,ID3,,,IT4,,,,,,,,Mit,,,,,,,,
,,1,Feb,2013,DH,PTI,,Coimbatore,¥Climate change will impact normal monsoonê,"The findings of a research project, ClimaRice, jointly conducted by Tamil Nadu Agricultural University, International Pacific Research Centre, Hawaii and Bioforsk, Norway revealed climate change would affect agriculture by various means, including rains, droughts and floods, IPRC representative, Dr H Annamalai said on Friday.",http://www.deccanherald.com/content/309346/climate-change-impact-normal-monsoon.html,http://www.deccanherald.com/content/309346/climate-change-impact-normal-monsoon.html,IS,,IS,,,IND,IA1,IB1,IC6,,"Tamil Nadu Agricultural University, International Pacific Research Centre",,ID5,D5,,IT6,,,,,,,,,,,,,,,,
,,2,Feb,2013,IE,ANI,,London,Global warming leading to extreme rainfall,"Researchers from the University of Adelaide, evaluated the association between extreme rainfall and atmospheric temperatures at more than 8000 weather gauging stations around the world, the telegraph reported.",http://www.indianexpress.com/news/global-warming-leading-to-extreme-rainfall/1068367/0,http://www.indianexpress.com/news/global-warming-leading-to-extreme-rainfall/1068367/0,SS,GS,S,,,GLO,A1,B4,C6,,University of Adelaide,,D1,,,T6,,,,,,,,,,,,,,,,
,,2,Feb,2013,TOI,Reporter,Siddharth Gaikwad,Pune,New green building rating to be introduced,"The Pimpri Chinchwad Municipal Corporation will introduce a new green building rating system wherein a building constructed on plot area below 2,500 sq.m. can obtain the rating",http://articles.timesofindia.indiatimes.com/2013-02-02/pune/36703020_1_habitat-assessment-construction-of-green-buildings-concession-in-premium-charges,http://articles.timesofindia.indiatimes.com/2013-02-02/pune/36703020_1_habitat-assessment-construction-of-green-buildings-concession-in-premium-charges,IPE,,IP,,,IND,IA2,IB1,IC1,,Pimpri Chinchwad Municipal Corporation,P,,,,IT6,CY,Pimpri chinchwad,,,,,,Mit,,,,,,,,
,,16,Feb,2013,BS,AFP,,Moscow,"Climate change real economic risk, World Bank tells G20",The president of the World Bank on Saturday warned the finance chiefs of the world's leading economic powers that global warming is a real risk to the planet and already affecting the world economy in unprecedented ways.,http://www.business-standard.com/article/pti-stories/climate-change-real-economic-risk-world-bank-tells-g20-113021600346_1.html,http://www.business-standard.com/article/pti-stories/climate-change-real-economic-risk-world-bank-tells-g20-113021600346_1.html,GPT,GS,GP,S,,DC,A1,B3,C2,,President of World Bank,,D4,,,T1,,,,,,,,,,,,,,,,
,Repeat,16,Jan,2013,ET,AFP,,Moscow,"Climate change real economic risk, World Bank tells G20",The president of the World Bank on Saturday warned the finance chiefs of the world's leading economic powers that global warming is a real risk to the planet and already affecting the world economy in unprecedented ways.,http://www.business-standard.com/article/pti-stories/climate-change-real-economic-risk-world-bank-tells-g20-113021600346_1.html,http://www.business-standard.com/article/pti-stories/climate-change-real-economic-risk-world-bank-tells-g20-113021600346_1.html,GPT,GS,GP,S,,DC,A1,B3,C2,,Presideny of World Bank,,D4,,,,,,,,,,,,,,,,,,,
,extra,16,Jan,2013,BS,no byline,,Chennai,"Fund us to fight climate change, BASIC nations urge richer countries",The BASIC Group has reiterated the need for a roadmap to raise funds for green climate and urged the developed countries to contribute their share to the funding of $30 billion that they have already agreed.,http://www.business-standard.com/article/economy-policy/fund-us-to-fight-climate-change-basic-nations-urge-richer-countries-113021600546_1.html,http://www.business-standard.com/article/economy-policy/fund-us-to-fight-climate-change-basic-nations-urge-richer-countries-113021600546_1.html,GJP,,GP,,,ACDC,IA2,BASIC,C2,,BASIC,,ID2,,,IT3,,,BP,FIN,ACM,,,,,,,,,,,
,extra,16,Jan,2013,DH,no byline,,Chennai,BASIC nations dismayed over poor contribution,"ed by host India, Environment Ministers of the _BASIC Nations on _Climate Change (CC)Ó Saturday expressed dismay over the poor contributions to the _Green Climate Fund (GCF)Ó by the developed world to enable _mitigation and adaptationÓ measures in developing countries.",http://www.deccanherald.com/content/312637/basic-nations-dismayed-over-poor.html,http://www.deccanherald.com/content/312637/basic-nations-dismayed-over-poor.html,GJP,,GP,,,ACDC,IA2,BASIC,C2,,BASIC,,ID2,,,IT3,,,BP,FIN,,,,,,,,,,,,
,,16,Feb,2013,ET,no byline,,Chennai,BASIC countries want $30 billion for Green Climate Fund to counter climate change,"On the issue of finance, there are two major processes. There is the discussion of sources of long term finance. There is agreement to securing funds from multiple sources, which will channeled through the Green Climate Fund.",http://articles.economictimes.indiatimes.com/2013-02-16/news/37133133_1_green-climate-fund-climate-change-global-climate,http://articles.economictimes.indiatimes.com/2013-02-16/news/37133133_1_green-climate-fund-climate-change-global-climate,GJP,,GP,,,ACDC,IA2,BASIC,C2,,BASIC,,ID2,D2,,IT3,,,BP,FIN,,,,,,,,,,BASIC,,
,,16,Feb,2013,TOI,Repoter,Nitin Sethi,Delhi,BASIC nations to oppose bringing aviation emissions under EU curbs,"The BASIC group, have decided that they will oppose the move to bring emissions from civil aviation sector under the EU's regulations and block any move that permits unilateral actions to be taken under the UN climate convention.",https://timesofindia.indiatimes.com/home/environment/global-warming/BASIC-nations-to-oppose-bringing-aviation-emissions-under-EU-curbs/articleshow/18523665.cms,https://timesofindia.indiatimes.com/home/environment/global-warming/BASIC-nations-to-oppose-bringing-aviation-emissions-under-EU-curbs/articleshow/18523665.cms,GJP,,GP,,,ACDC,IA2,BASIC,C2,,BASIC,,ID2,,,IT3,,,BP,UNFCCC,ACM,,,,,,,,,BASIC,,
,Repeat,16,Feb,2013,ET,Repoter,Nitin Sethi,Delhi,BASIC nations to oppose bringing aviation emissions under EU curbs,"The BASIC group, have decided that they will oppose the move to bring emissions from civil aviation sector under the EU's regulations and block any move that permits unilateral actions to be taken under the UN climate convention. T",https://timesofindia.indiatimes.com/home/environment/global-warming/BASIC-nations-to-oppose-bringing-aviation-emissions-under-EU-curbs/articleshow/18523665.cms,https://timesofindia.indiatimes.com/home/environment/global-warming/BASIC-nations-to-oppose-bringing-aviation-emissions-under-EU-curbs/articleshow/18523665.cms,GJP,,GP,,,DC,IA2,BASIC,C2,,BASIC,,ID2,,,IT3,,,BP,UNFCCC,ACM,,,,,,,,,BASIC,,
,,28,Feb,2013,TOI,no byline,,Delhi,Economic Survey 2013: Rs 2.3 lakh crore needed to weather climate change,"A sum of Rs 230,000 crore would be required to meet the targets under the National Action Place on Climate Change, the Economic Survey for 2012-13 has noted, adding that additional steps suggested under the 12th Five Year Plan and other environmental initiatives would require yet more resources.",http://timesofindia.indiatimes.com/economic-survey/Economic-Survey-2013-Rs-2-3-lakh-crore-needed-to-weather-climate-change/articleshow/18720615.cms?,http://timesofindia.indiatimes.com/economic-survey/Economic-Survey-2013-Rs-2-3-lakh-crore-needed-to-weather-climate-change/articleshow/18720615.cms?,GJP,,GP,,,IND,IA2,IB1,IC1,,GOI: Economic survey and 12th 5 year plan,,ID2,,,IT3,,,BP,FIN,ACM,,,,,,,,,,,
,,28,Feb,2013,HDU,Reporter,Priscilla Jebaraj,Delhi,"Carbon taxes will lead to heavy GDP losses, warns Economic Survey","Warning that a carbon tax of $10 per tonne of greenhouse gas emissions could cause a GDP loss of more than $600 billion, the Economic Survey says the way forward for domestic environment financing must come from a mix of market mechanisms, fiscal instruments and regulatory interventions",http://www.thehindu.com/news/national/carbon-taxes-will-lead-to-heavy-gdp-losses-warns-economic-survey/article4459746.ece,http://www.thehindu.com/news/national/carbon-taxes-will-lead-to-heavy-gdp-losses-warns-economic-survey/article4459746.ece,IPL,,IP,,,IND,IA2,IB1,IC1,,GOI: Economic survey,,ID2,,,IT1,,,,IFIN,,,,Mit,,,,,,,,
,,28,Feb,2013,BS,Reuters,,Cape Town,ArcelorMittal unit hit by South Africa carbon tax worries,"Shares of ArcelorMittal South Africa dropped more than 6 per cent on Wednesday after the government said it would tax carbon emissions from 2015, sparking concern heavy polluters could see their earnings hit.",http://www.business-standard.com/article/international/arcelormittal-unit-hit-by-south-africa-carbon-tax-worries-113022800027_1.html,http://www.business-standard.com/article/international/arcelormittal-unit-hit-by-south-africa-carbon-tax-worries-113022800027_1.html,GBBZ,GPL,BZ,GP,,DC,A1,B1,C5,,Arcelor Mittal South Africa,P,D2,,,T6,,,,,,,,Mit,,,,,,,,
,,2,Mar,2013,TOI,IANS,,Washington,World Bank chief vows more efforts to combat climate change,"World Bank Group President Jim Yong Kim has pledged that the Bank was committed to tackling climate change ""more than anything else"". ""What we have to realize is that climate change is not a future threat. It is here with us today,""",http://articles.timesofindia.indiatimes.com/2013-03-02/global-warming/37389105_1_climate-change-president-jim-yong-kim-world-bank,http://articles.timesofindia.indiatimes.com/2013-03-02/global-warming/37389105_1_climate-change-president-jim-yong-kim-world-bank,GTD,,TD,,,GLO,A1,B1,C2,,President of World Bank,,D4,,,T6,,,,,,,,,,,,,,,,
,,2,Mar,2013,BS,PTI,,New Delhi,New initiatives in green energy on the anvil: Farooq,"Promising new initiatives in the field of green energy, Union New and Renewable Energy Minister Farooq Abdullah today expressed hope that the Budget proposals will allow his ministry to ensure that electricity reaches people who do not have access to it till now. ""I am happy with the Budget. We have got sufficient fund and they have promised to give more help once we are done with the complete utilisation of the given money,"" Farooq said.",http://www.business-standard.com/article/pti-stories/new-initiatives-in-green-energy-on-the-anvil-farooq-113030200260_1.html,http://www.business-standard.com/article/pti-stories/new-initiatives-in-green-energy-on-the-anvil-farooq-113030200260_1.html,IPE,,IP,,,IND,IA1,IB1,IC1,,Union New and Renewable Energy Minister Farooq Abdullah,,ID2,,,IT4,,,,,,,,Mit,,,,,,,,
,,3,Mar,2013,TOI,Reporter,Ashok Pradhan,Bhubaneshwar,Here comes the sun,"Close on the heels of the Union finance minister ruing the burgeoning cost of energy imports while presenting the Budget in the LokSabha on Thursday, the Bhubaneswar Development Authority (BDA) is planning to make it mandatory for buildings beyond a particular size to install their own solar power plant.",http://articles.timesofindia.indiatimes.com/2013-03-03/bhubaneswar/37409252_1_solar-power-plants-solar-energy-solar-panels,http://articles.timesofindia.indiatimes.com/2013-03-03/bhubaneswar/37409252_1_solar-power-plants-solar-energy-solar-panels,IPE,,IP,,,IND,IA2,IB2,IC1,,"Bhubaneswar Development Authority (BDA), Bhubaneswar Municipal Corporation (BMC)",,ID2,ID6,,IT6,CY,Bhubaneshwar,,,,,,Mit,,,,,,,,
,,16,Mar,2013,BL,PTI,,Washington,"US must shift cars, trucks off oil: Obama","Arguing that the country is finally poised to take control of its energy future, US President Barack Obama asked the Congress to use revenues from oil-and-gas production to wean cars and trucks from oil, breaking the cycle of gasoline price spikes once and for al",http://www.thehindubusinessline.com/news/international/us-must-shift-cars-trucks-off-oil-obama/article4515295.ece,http://www.thehindubusinessline.com/news/international/us-must-shift-cars-trucks-off-oil-obama/article4515295.ece,GPE,,GP,,,US,IA1,B1,C1,,Obama,,D2,,,T6,,,,,,,,Mit,,,,,,,,
NO LINK,,16,Mar,2013,HT,No byline,,Mumbai,"City airport turns eco-friendly, reduces carbon emissions","The Mumbai airportês efforts to reduce its carbon footprint seem to be paying off, with the complex releasing 49,239 tonnes of carbon dioxide last year, as compared to 55,432 tonnes in 2011.",https://www.highbeam.com/doc/1P3-2919620281.html,https://www.highbeam.com/doc/1P3-2919620281.html,BBZ,,BZ,,,IND,IA2,IB8,IC5,,Mumbai airport,,,,,,,,,,,,,Mit,,,,,,,"Mumbai, March 16 -- The Mumbai airport's efforts to reduce its carbon footprint seem to be paying off, with the complex releasing 49,239 tonnes of carbon dioxide last year, as compared to 55,432 tonnes in 2011. This is a reduction of 6,193 tonnes, or 11.17 per cent.
 
 The airport reduced its emissions by changing the way its uses energy, said officials. Conventional lights in domestic and international terminals have been replaced with energy-efficient compact fluorescent lights, and high-powered lights on aerobridges have been programmed to switch off automatically. Conveyor belts have been put on ""no bag sensing mode"", so they stop working when there is no luggage. Air-conditioners in the terminal have been set at 23 degrees Celsius, and blowers, which circulate air in crowded spaces, are switched off on winter nights and non-peak hours. €",
,,17,Mar,2013,ToI,Reporter,Neel Kamal,Barnala,"Global warming effect on Antarctica, ice cover disappears from King George Island","Antarctica has gone through major geographical changes of late and one of its islands' (King George) ice cover has totally disappeared. Even the penguins are facing the threat of extinction. This came to light after the return of the 10th International Antarctic Expedition with its return, Bandanjot Singh became the first Sikh to have explored the South Pole in an official expedition",http://economictimes.indiatimes.com/news/environment/global-warming/global-warming-effect-on-antarctica-ice-cover-disappears-from-king-george-island/articleshow/19019918.cms,http://economictimes.indiatimes.com/news/environment/global-warming/global-warming-effect-on-antarctica-ice-cover-disappears-from-king-george-island/articleshow/19019918.cms,ITD,,TD,,,POL,IA2,IB2,IC8,,Indian on antractic mission,,ID7,,,IT6,,,,,,,,,,,,,,,,
,extra,28,Mar,2013,TOI,Reporter,Kounteya Sinha,London,British butterflies in dire straits,Britain's butterflies have suffered the worst year in history with dozens of species facing extinction.,http://timesofindia.indiatimes.com/home/environment/flora-fauna/British-butterflies-in-dire-straits/articleshow/19250514.cms,http://timesofindia.indiatimes.com/home/environment/flora-fauna/British-butterflies-in-dire-straits/articleshow/19250514.cms,GS,,S,,,AC,IA2,B4,C7,,,,,,,T1,,,,,,,,,,,,,,,,
,extra,28,Mar,2013,TOI,No byline,,VISAKHAPATNAM,Hottest summer awaits Vizag?,"The summer of 2013 could well be the hottest that Vizagites have seen in more than a hundred years, thanks to the soaring mercury already zooming past the 37 degrees",http://timesofindia.indiatimes.com/city/visakhapatnam/Hottest-summer-awaits-Vizag/articleshow/19251117.cms,http://timesofindia.indiatimes.com/city/visakhapatnam/Hottest-summer-awaits-Vizag/articleshow/19251117.cms,IS,,IS,,,IND,IA2,IB6,IC6,,meteorology department in Andhra University,,ID5,,,IT6,CY,Vishakapatnam,,,,,,,,,,,,,,
,,28,Mar,2013,TOI,Reporter,Kounteya Sinha,London,Opportunity for India to fuel UK power plant growth,"United Kingdom will require an investment of 110 billion pounds in its energy infrastructure by 2020, majority of which will be raised ""from overseas markets like India."" ""Nuclear power is low carbon, affordable, dependable, safe and capable of increasing the diversity of energy supply.",http://timesofindia.indiatimes.com/world/uk/Opportunity-for-India-to-fuel-UK-power-plant-growth/articleshow/19250184.cms,http://timesofindia.indiatimes.com/world/uk/Opportunity-for-India-to-fuel-UK-power-plant-growth/articleshow/19250184.cms,MP,,GP,IP,,BI,IA2,IB2,C3,,FCO UK,,D4,,,IT6,,,,,,,,Mit,,,,,,,,
